Respondent ID,Collector ID,,,,,,,,What is your age?,What is your gender?,,In what country were you born?,In what country do you live?,Where did you grow up (K-12 education)?If lived in multiple places please select the most relevant region based on where you lived the longest or where you had the most of your foreign language education.,How many foreign languages did you learn (even at a basic level)?,Which languages did you learn?,,,,,,,,,,,,,,,Which languages are you fluent in?(Not including your 1st language),,,,,,,,,,,,,,,How many countries have you lived in?,In which country/countries do you hold citizenship?,,,,,,,,,,
,,,,,,,,,Response,Response,Other (specify),Response,Response,Response,Response,English,German,Spanish,French,Mandarin,Arabic,Korean,Hindi,Russian,Italian,Portuguese,Japanese,Turkish,Vietnamese,Other (please specify),English,German,Spanish,French,Mandarin,Arabic,Korean,Hindi,Russian,Italian,Portuguese,Japanese,Turkish,Vietnamese,Other (please specify),Response,United States,UK,Austria,Germany,China,France,Italy,Russia,Spain,Korea,Other country (please specify)
10818150194,237738673,,,,,,,,45 to 54,Female,,Netherlands,Netherlands,Netherlands,5+,English,German,Spanish,French,,,,,,,,,,,Latin ,English,,,,,,,,,,,,,,,1,,,,,,,,,,,Netherlands
10818065991,237738673,,,,,,,,25 to 34,Female,,United States of America (Northeast),United States of America (Northeast),United States of America (Northeast),1,English,,,,,,,,,,,,,,Cantonese,English,,,,,,,,,,,,,,,1,United States,,,,,,,,,,
10817669803,237738673,,,,,,,,18 to 24,Female,,United States of America (Northeast),United States of America (West),United States of America (West),1,English,,,,,,,,,,,,,,,English,,,,,,,,,,,,,,,1,United States,,,,,,,,,,
10816831343,237738673,,,,,,,,35 to 44,Female,,Bulgaria,Bulgaria,Bulgaria,3,English,German,,,,,,,Russian,,,,,,,English,,,,,,,,,,,,,,,2,,,,,,,,,,,Greece
10816820654,237738673,,,,,,,,35 to 44,Female,,Sweden,Sweden,Poland,2,English,,,French,,,,,,,,,,,,English,,,,,,,,,,,,,,Polish,3,,,,,,,,,,,Poland
10815867827,237738673,,,,,,,,18 to 24,Male,,Iran (Islamic Republic of),United States of America (Northeast),Iran (Islamic Republic of),4,English,German,Spanish,French,,,,,,,,,,,,English,German,,French,,,,,,,,,,,farsi,5+,United States,,,,,,,,,,iran
10813381982,237738673,,,,,,,,18 to 24,Female,,Malaysia,United Kingdom of Great Britain and Northern Ireland,Malaysia,3,English,,,,,Arabic,,,,,,,,,Malay,English,,,,,,,,,,,,,,,2,,,,,,,,,,,Malaysia
10813335033,237738673,,,,,,,,18 to 24,Female,,Netherlands,Netherlands,Netherlands,4,English,German,Spanish,French,,,,,,,,,,,,English,,,,,,,,,,,,,,,2,,,,,,,,,,,Netherlands
10812995147,237738673,,,,,,,,25 to 34,Female,,Malaysia,Malaysia,Malaysia,4,English,,,French,,,Korean,,,,,,,,malay,English,,,,,,,,,,,,,,,1,,,,,,,,,,,malaysia
10812678027,237738673,,,,,,,,25 to 34,Male,,Colombia,Colombia,Colombia,2,English,,,,,,,,,Italian,,,,,,English,,,,,,,,,,,,,,,1,,,,,,,,,,,Colombia
10811794867,237738673,,,,,,,,25 to 34,Male,,Ireland,Ireland,Ireland,0,English,German,,,,,,,,,,,,,,English,,,,,,,,,,,,,,,2,,,,,,,,,,,ireland
10811326965,237738673,,,,,,,,18 to 24,Female,,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,1,,German,,,,,,,,,,,,,,,German,,,,,,,,,,,,,,1,,UK,,,,,,,,,
10810858676,237738673,,,,,,,,35 to 44,Male,,United States of America (Midwest),United States of America (Midwest),United States of America (Midwest),1,,,Spanish,,,,,,,,,,,,,,,Spanish,,,,,,,,,,,,,3,United States,,,,,,,,,,
10810740077,237738673,,,,,,,,18 to 24,Female,,Netherlands,Netherlands,Netherlands,3,English,German,,,,,,,,,,,,,Finnish,English,,,,,,,,,,,,,,,3,,,,,,,,,,,The Netherlands
10810310507,237738673,,,,,,,,18 to 24,Male,,Netherlands,Netherlands,Netherlands,3,English,German,,French,,,,,,,,,,,,English,,,,,,,,,,,,,,,1,,,,,,,,,,,Netherlands
